"year,Seasonally Adjusted CO2 (ppm),LandAverageTemperature,LandMaxTemperature,LandMinTemperature"
"1971,326.31416666666667,8.59925,14.35275,2.9622499999999996"
"1972,327.45416666666665,8.499583333333334,14.164916666666668,2.8448333333333338"
"1973,329.67333333333335,8.94825,14.566,3.3701666666666665"
"1974,330.2383333333333,8.4675,14.081916666666666,2.900916666666667"
"1975,331.14833333333337,8.744833333333334,14.383666666666668,3.121083333333333"
"1976,332.15000000000003,8.34725,14.008000000000001,2.734166666666667"
"1977,333.89416666666665,8.85025,14.4855,3.294583333333333"
"1978,335.5,8.69275,14.28125,3.170916666666667"
"1979,336.8475,8.733416666666667,14.457749999999999,3.2000833333333336"
"1980,338.68333333333334,8.980333333333332,14.672916666666666,3.404666666666667"
"1981,339.9275,9.165833333333333,14.855166666666667,3.6359166666666662"
"1982,341.12666666666667,8.639166666666666,14.300916666666666,3.2399166666666663"
"1983,342.77583333333337,9.028166666666666,14.679833333333335,3.5524166666666663"
"1984,344.41833333333335,8.691833333333333,14.342666666666666,3.18675"
"1985,345.8966666666667,8.658,14.267166666666668,3.1756666666666664"
"1986,347.1466666666667,8.833583333333333,14.516833333333333,3.3193333333333332"
"1987,348.9275,8.994416666666666,14.699833333333336,3.431416666666667"
"1988,351.4816666666666,9.201583333333334,14.89,3.654"
"1989,352.90333333333336,8.921999999999999,14.6215,3.3343333333333334"
"1990,354.1816666666667,9.234166666666667,14.957666666666668,3.65875"
"1991,355.5841666666667,9.179416666666667,14.839583333333335,3.6221666666666668"
"1992,356.3691666666667,8.836583333333333,14.471333333333334,3.2635"
"1993,357.035,8.866583333333333,14.519750000000002,3.2845833333333334"
"1994,358.87916666666666,9.03875,14.72925,3.3960833333333333"
"1995,360.87166666666667,9.347083333333334,15.026416666666668,3.7035"
"1996,362.6366666666667,9.038916666666667,14.737250000000001,3.3811666666666667"
"1997,363.7583333333334,9.202583333333333,14.868,3.5901666666666663"
"1998,366.62416666666667,9.522666666666668,15.169416666666665,3.9491666666666667"
"1999,368.30583333333334,9.285083333333334,14.982750000000001,3.662333333333333"
"2000,369.4725,9.201166666666667,14.898833333333334,3.5818333333333334"
"2001,371.0133333333333,9.414583333333333,15.159166666666666,3.7406666666666664"
"2002,373.08916666666664,9.570416666666667,15.312333333333333,3.8645833333333335"
"2003,375.6325,9.525583333333334,15.249333333333333,3.8515833333333336"
"2004,377.3591666666667,9.324583333333333,15.018,3.6644166666666664"
"2005,379.6016666666667,9.700916666666666,15.349833333333335,4.113833333333333"
"2006,381.8,9.5325,15.262,3.8648333333333333"
"2007,383.58750000000003,9.732166666666666,15.533083333333332,4.00925"
"2008,385.4475,9.43175,15.191749999999999,3.724833333333333"
"2009,387.35249999999996,9.50525,15.266583333333335,3.7969166666666663"
"2010,389.89416666666665,9.703083333333334,15.449,4.023916666666667"
"2011,391.64416666666665,9.516,15.284833333333333,3.827666666666666"
"2012,393.86583333333334,9.507333333333333,15.332833333333333,3.7561666666666667"
"2013,396.56,9.6065,15.373833333333335,3.9113333333333333"
"2014,398.6066666666666,9.570666666666666,15.313583333333334,3.8777500000000003"
"2015,400.87833333333333,9.831,15.572666666666668,4.148833333333333"
